  0.478825E-01  0.120524E-01
  0.481474E-01  0.119529E-01
  0.484139E-01  0.118542E-01
  0.486819E-01  0.117563E-01
  0.489514E-01  0.116592E-01
  0.492225E-01  0.115628E-01
  0.494952E-01  0.114673E-01
  0.497694E-01  0.113725E-01
  0.500451E-01  0.112785E-01
  0.503225E-01  0.111853E-01
  0.506014E-01  0.110928E-01
  0.508820E-01  0.110010E-01
  0.511641E-01  0.109100E-01
  0.514479E-01  0.108197E-01
  0.517333E-01  0.107302E-01
  0.520204E-01  0.106414E-01
  0.523091E-01  0.105533E-01
  0.525994E-01  0.104659E-01
  0.528915E-01  0.103792E-01
  0.531852E-01  0.102933E-01
  0.534806E-01  0.102080E-01
  0.537776E-01  0.101234E-01
  0.540764E-01  0.100395E-01
  0.543770E-01  0.995631E-02
  0.546792E-01  0.987377E-02
  0.549832E-01  0.979190E-02
  0.552889E-01  0.971070E-02
  0.555964E-01  0.963015E-02
  0.559056E-01  0.955026E-02
  0.562167E-01  0.947102E-02
  0.565295E-01  0.939243E-02
  0.568441E-01  0.931447E-02
  0.571606E-01  0.923714E-02
  0.574788E-01  0.916045E-02
  0.577989E-01  0.908437E-02
  0.581208E-01  0.900892E-02
  0.584446E-01  0.893408E-02
  0.587703E-01  0.885985E-02
  0.590978E-01  0.878623E-02
  0.594272E-01  0.871320E-02
  0.597585E-01  0.864077E-02
  0.600917E-01  0.856893E-02
  0.604268E-01  0.849767E-02
  0.607639E-01  0.842700E-02
  0.611029E-01  0.835690E-02
  0.614439E-01  0.828737E-02
  0.617868E-01  0.821842E-02
  0.621317E-01  0.815002E-02
  0.624786E-01  0.808218E-02
  0.628275E-01  0.801489E-02
  0.631784E-01  0.794816E-02
  0.635313E-01  0.788197E-02
  0.638863E-01  0.781632E-02
  0.642433E-01  0.775120E-02
  0.646023E-01  0.768662E-02
  0.649635E-01  0.762256E-02
  0.653267E-01  0.755903E-02
  0.656920E-01  0.749602E-02
  0.660594E-01  0.743353E-02
  0.664290E-01  0.737154E-02
  0.668007E-01  0.731006E-02
  0.671745E-01  0.724909E-02
  0.675505E-01  0.718861E-02
  0.679286E-01  0.712863E-02
  0.683090E-01  0.706914E-02
  0.686915E-01  0.701014E-02
  0.690763E-01  0.695162E-02
  0.694632E-01  0.689358E-02
  0.698524E-01  0.683602E-02
  0.702439E-01  0.677893E-02
  0.706376E-01  0.672231E-02
  0.710336E-01  0.666615E-02
  0.714319E-01  0.661045E-02
  0.718325E-01  0.655521E-02
  0.722354E-01  0.650042E-02
  0.726406E-01  0.644608E-02
  0.730482E-01  0.639219E-02
  0.734581E-01  0.633874E-02
  0.738704E-01  0.628573E-02
  0.742851E-01  0.623316E-02
  0.747022E-01  0.618101E-02
  0.751217E-01  0.612930E-02
  0.755436E-01  0.607801E-02
  0.759680E-01  0.602714E-02
  0.763948E-01  0.597669E-02
  0.768241E-01  0.592666E-02
  0.772559E-01  0.587703E-02
  0.776901E-01  0.582782E-02
  0.781269E-01  0.577901E-02
  0.785663E-01  0.573060E-02
  0.790081E-01  0.568260E-02
  0.794526E-01  0.563498E-02
  0.798996E-01  0.558776E-02
  0.803492E-01  0.554093E-02
  0.808014E-01  0.549448E-02
  0.812562E-01  0.544842E-02
  0.817136E-01  0.540274E-02
  0.821737E-01  0.535743E-02
  0.826365E-01  0.531250E-02
  0.831020E-01  0.526793E-02
  0.835701E-01  0.522374E-02
  0.840410E-01  0.517991E-02
  0.845146E-01  0.513644E-02
  0.849910E-01  0.509333E-02
  0.854701E-01  0.505058E-02
  0.859520E-01  0.500818E-02
  0.864367E-01  0.496613E-02
  0.869242E-01  0.492443E-02
  0.874145E-01  0.488307E-02
  0.879077E-01  0.484206E-02
  0.884038E-01  0.480138E-02
  0.889027E-01  0.476104E-02
  0.894045E-01  0.472103E-02
  0.899092E-01  0.468136E-02
  0.904169E-01  0.464201E-02
  0.909275E-01  0.460299E-02
  0.914411E-01  0.456429E-02
  0.919577E-01  0.452591E-02
  0.924773E-01  0.448785E-02
  0.929999E-01  0.445011E-02
  0.935255E-01  0.441268E-02
  0.940542E-01  0.437556E-02
  0.945860E-01  0.433874E-02
  0.951208E-01  0.430223E-02
  0.956588E-01  0.426603E-02
  0.961999E-01  0.423012E-02
  0.967441E-01  0.419451E-02
  0.972916E-01  0.415920E-02
  0.978421E-01  0.412418E-02
  0.983960E-01  0.408945E-02
  0.989530E-01  0.405501E-02
  0.995132E-01  0.402086E-02
  0.100077E+00  0.398699E-02
  0.100644E+00  0.395340E-02
  0.101214E+00  0.392009E-02
  0.101787E+00  0.388706E-02
  0.102364E+00  0.385430E-02
  0.102944E+00  0.382181E-02
  0.103528E+00  0.378960E-02
  0.104115E+00  0.375765E-02
  0.104705E+00  0.372597E-02
  0.105299E+00  0.369455E-02
  0.105896E+00  0.366339E-02
  0.106497E+00  0.363249E-02
  0.107101E+00  0.360185E-02
  0.107709E+00  0.357147E-02
  0.108320E+00  0.354133E-02
  0.108935E+00  0.351145E-02
  0.109553E+00  0.348182E-02
  0.110175E+00  0.345243E-02
  0.110801E+00  0.342329E-02
  0.111430E+00  0.339440E-02
  0.112063E+00  0.336574E-02
  0.112700E+00  0.333732E-02
  0.113341E+00  0.330914E-02
  0.113985E+00  0.328120E-02
  0.114633E+00  0.325348E-02
  0.115284E+00  0.322600E-02
  0.115940E+00  0.319875E-02
  0.116599E+00  0.317173E-02
  0.117263E+00  0.314493E-02
  0.117930E+00  0.311836E-02
  0.118601E+00  0.309200E-02
  0.119276E+00  0.306587E-02
